x="750.7079023595155" y="42.96637634000618" width="11.788268930989608" height="11.788268930989608" fill="#AAAAAA" tissue="Testis"
x="722.5246936077078" y="440.24431738695995" width="9.373840668123254" height="9.373840668123254" fill="#EEEE00" tissue="Brain_Caudate_basal_ganglia"
x="717.6164996513711" y="455.89788347428146" width="15.78773010448233" height="15.78773010448233" fill="#7777FF" tissue="Skin_Sun_Exposed_Lower_leg"
x="717.0519373252856" y="474.8878508624354" width="15.528816939176378" height="15.528816939176378" fill="#FF0000" tissue="Artery_Tibial"
x="720.4805671665542" y="497.36814807425105" width="8.289244126547107" height="8.289244126547107" fill="#EEEE00" tissue="Brain_Anterior_cingulate_cortex_BA24"
x="720.2464927048021" y="516.0119608527848" width="8.72264018048137" height="8.72264018048137" fill="#EEEE00" tissue="Brain_Hippocampus"
x="717.5351173721073" y="532.7518603869752" width="12.963862723102638" height="12.963862723102638" fill="#33CCCC" tissue="Breast_Mammary_Tissue"
x="714.8118065134121" y="550.3485766918042" width="15.491451724446652" height="15.491451724446652" fill="#FF6600" tissue="Adipose_Subcutaneous"
x="716.8978420991596" y="572.8853462145564" width="8.138934289944137" height="8.138934289944137" fill="#FF5599" tissue="Vagina"
x="714.863975865116" y="591.338715478254" width="8.953217373551043" height="8.953217373551043" fill="#EEEE00" tissue="Brain_Frontal_Cortex_BA9"
x="712.2888467867999" y="608.7151037302484" width="11.921462480564163" height="11.921462480564163" fill="#8B7355" tissue="Esophagus_Gastroesophageal_Junction"
x="713.6053253659425" y="629.429105440045" width="8.21448067197292" height="8.21448067197292" fill="#99BB88" tissue="Minor_Salivary_Gland"
x="709.6791904252204" y="644.6949119410494" width="15.403889280966084" height="15.403889280966084" fill="#006600" tissue="Thyroid"
x="712.0273029736594" y="666.484990890219" width="9.544752993628892" height="9.544752993628892" fill="#EEEE00" tissue="Brain_Nucleus_accumbens_basal_ganglia" class=""
x="711.6490850172198" y="686.4083125807668" width="7.419131223535193" height="7.419131223535193" fill="#EEEE00" tissue="Brain_Substantia_nigra"
x="710.4079206306218" y="704.1744038594614" width="9.607970277147835" height="9.607970277147835" fill="#EEEE00" tissue="Brain_Cortex"
x="710.893267823643" y="723.9247019286462" width="7.828395749780298" height="7.828395749780298" fill="#EEEE00" tissue="Brain_Amygdala"
x="706.5523355337707" y="741.7306203737978" width="9.937580470479173" height="9.937580470479173" fill="#DDDDDD" tissue="Prostate"
x="705.6636323955571" y="760.4714102467735" width="10.177022335529822" height="10.177022335529822" fill="#33DD33" tissue="Adrenal_Gland"
x="703.7701824937259" y="779.5332705955013" width="9.774323249076001" height="9.774323249076001" fill="#FFAA99" tissue="Artery_Coronary"
x="703.79887302598" y="798.8962914837691" width="8.76930308354225" height="8.76930308354225" fill="#FFAAFF" tissue="Ovary"
x="702.9615690785075" y="817.7220655186235" width="8.83877662483565" height="8.83877662483565" fill="#EEEE00" tissue="Brain_Putamen_basal_ganglia"
x="701.9891510574516" y="837.1277002742892" width="7.748528724506328" height="7.748528724506328" fill="#EEEE00" tissue="Brain_Spinal_cord_cervical_c-1"
x="701.2078906701819" y="855.4430871296255" width="8.83877662483565" height="8.83877662483565" fill="#EEEE00" tissue="Brain_Hypothalamus"
x="681.4801867266627" y="874.5783641842706" width="8.289244126547107" height="8.289244126547107" fill="#CC66FF" tissue="Cells_EBV-transformed_lymphocytes"
x="676.5504732290041" y="889.0962671905697" width="16.974459724950886" height="16.974459724950886" fill="#AAAAFF" tissue="Muscle_Skeletal"
x="679.5652853046603" y="911.3162779334015" width="10.255459850289492" height="10.255459850289492" fill="#AAFF99" tissue="Pituitary"
x="543.856373353079" y="930.8279099772717" width="8.953217373551043" height="8.953217373551043" fill="#EEEE00" tissue="Brain_Cerebellar_Hemisphere"
x="532.0216035337663" y="949.3192570875151" width="9.691544764066288" height="9.691544764066288" fill="#EEEE00" tissue="Brain_Cerebellum"
